1805.00460v1 , VisDial , Visual dialog , arxiv_paper_20000
1702.00758v4 , cite:Arxiv14HashSurvey , Hashing for similarity search: A survey , arxiv_paper_20695
1706.02021v1 , Lin2016 , Fixed point quantization of deep convolutional networks , arxiv_paper_20698
1706.02021v1 , Mathieu2013 , Fast training of convolutional networks through FFTs , arxiv_paper_20700
1706.02021v1 , Vasilache2015 , Fast convolutional nets with fbfft: A GPU performance evaluation , arxiv_paper_20701
1812.10119v1 , Bahdanau:2014 , Neural machine translation by jointly learning to align and translate , arxiv_paper_20706
1712.09482v1 , reed2014training , Training deep neural networks on noisy labels with bootstrapping , arxiv_paper_20725
1807.02536v1 , arandjelovic2016netvlad , Netvlad: Cnn architecture for weakly supervised place recognition , arxiv_paper_20728
1605.09227v1 , balcan2012learning , Learning valuation functions , arxiv_paper_20731
1605.09227v1 , gupta2013privately , Privately releasing conjunctions and the statistical query barrier , arxiv_paper_20732
1605.09227v1 , jamieson2011active , Active ranking using pairwise comparisons , arxiv_paper_20736
1906.03161v1 , donner2018efficient , Efficient bayesian inference of sigmoidal gaussian cox processes , arxiv_paper_20743
1909.02188v1 , zhang-etal-2019-joint , Joint slot filling and intent detection via capsule neural networks , arxiv_paper_20750
1710.08717v5 , Murray:16 , Differentiation of the Cholesky decomposition , arxiv_paper_20758
1710.08717v5 , Wilson:16 , Deep kernel learning , arxiv_paper_20759
1909.03616v2 , ArisakaSatoh18 , Abstract Argumentation / Persuasion / Dynamics , arxiv_paper_20771
1809.10274v1 , wu2017starspace , Starspace: Embed all the things! , arxiv_paper_20780
2001.00561v2 , chhabra_anonymizing_2018 , Anonymizing k-facial attributes via adversarial perturbations , arxiv_paper_20783
1905.13149v1 , reed2016generative , Generative adversarial text to image synthesis , arxiv_paper_20786
1908.04503v1 , yu2018generative , Generative image inpainting with contextual attention , arxiv_paper_20791
1908.04503v1 , liu2018image , Image inpainting for irregular holes using partial convolutions , arxiv_paper_20792
1908.04503v1 , yan2016attribute2image , Attribute2image: Conditional image generation from visual attributes , arxiv_paper_20793
1908.04503v1 , reed2016generative , Generative adversarial text to image synthesis , arxiv_paper_20794
1903.02930v1 , hendricks2017localizing , Localizing moments in video with natural language , arxiv_paper_20796
1805.07898v3 , zhang2016understanding , Understanding deep learning requires rethinking generalization , arxiv_paper_20799
1805.07898v3 , chaudhari2016entropy , Entropy-sgd: Biasing gradient descent into wide valleys , arxiv_paper_20801
1805.07898v3 , izmailov2018averaging , Averaging weights leads to wider optima and better generalization , arxiv_paper_20804
1906.06514v1 , fragkiadaki2015recurrent , Recurrent network models for human dynamics , arxiv_paper_20821
1906.06514v1 , martinez2017human , On human motion prediction using recurrent neural networks , arxiv_paper_20823
1510.08974v1 , gentile2012multilabel , On multilabel classification and ranking with partial feedback , arxiv_paper_20847
1912.03865v1 , seff2016learning , Learning from maps: Visual common sense for autonomous driving , arxiv_paper_20865
1607.06520v1 , feldman2015certifying , Certifying and removing disparate impact , arxiv_paper_20886
1909.03051v1 , denton2017unsupervised , Unsupervised Learning of Disentangled Representations from Video , arxiv_paper_20898
1909.03051v1 , tran2018representation , Representation Learning by Rotating Your Faces , arxiv_paper_20899
1907.03465v1 , kumar2019vehicle , Vehicle re-identification: an efficient baseline using triplet embedding , arxiv_paper_20904
1907.03465v1 , girshick2015fast , Fast r-cnn , arxiv_paper_20907
1907.03465v1 , liu2016ssd , Ssd: Single shot multibox detector , arxiv_paper_20910
1907.03465v1 , lin2017focal , Focal loss for dense object detection , arxiv_paper_20911
1708.07860v1 , owens2016ambient , Ambient sound provides supervision for visual learning , arxiv_paper_20926
1901.05884v3 , NIPS2018_8056 , Transfer learning with neural automl , arxiv_paper_20930
1511.03328v2 , zheng2015conditional , Conditional random fields as recurrent neural networks , arxiv_paper_20939
1711.10290v1 , KK:AISTATS13 , Random feature maps for dot product kernels , arxiv_paper_20954
1910.10986v1 , kemker2018measuring , Measuring catastrophic forgetting in neural networks , arxiv_paper_20956
1910.10986v1 , rusu2016progressive , Progressive neural networks , arxiv_paper_20957
1910.10986v1 , aljundi2017expert , Expert gate: Lifelong learning with a network of experts , arxiv_paper_20958
1910.10986v1 , lopez2017gradient , Gradient episodic memory for continual learning , arxiv_paper_20959
1910.10986v1 , li2017learning , Learning without forgetting , arxiv_paper_20960
1910.10986v1 , rannen2017encoder , Encoder based lifelong learning , arxiv_paper_20961
1910.10986v1 , kirkpatrick2017overcoming , Overcoming catastrophic forgetting in neural networks , arxiv_paper_20962
1910.10986v1 , zenke2017continual , Continual learning through synaptic intelligence , arxiv_paper_20963
1910.10986v1 , aljundi2018memory , Memory aware synapses: Learning what (not) to forget , arxiv_paper_20964
1901.02701v2 , russakovsky2015imagenet , Imagenet large scale visual recognition challenge , arxiv_paper_20970
1802.07229v1 , KusnerPH17 , Grammar variational autoencoder , arxiv_paper_20976
1802.07229v1 , JanzWPKH18 , Learning a generative model for validity in complex discrete structures , arxiv_paper_20977
1806.04532v1 , DBLPVilnisM14 , Word representations via gaussian embedding , arxiv_paper_20988
1806.04532v1 , DBLPNguyenKWV17 , Hierarchical embeddings for hypernymy detection and directionality , arxiv_paper_20990
1306.5678v2 , Balliu::Epis , Epistemic temporal logic for information flow security , arxiv_paper_20999
1306.5678v2 , HalpernO08 , Secrecy in multiagent systems , arxiv_paper_21000
1804.04448v2 , russakovsky2015imagenet , Imagenet large scale visual recognition challenge , arxiv_paper_21007
1804.04448v2 , sun2016deep , Deep coral: Correlation alignment for deep domain adaptation , arxiv_paper_21008
1804.04448v2 , zhang2015deep , Deep transfer network: Unsupervised domain adaptation , arxiv_paper_21009
1804.04448v2 , tzeng2014deep , Deep domain confusion: Maximizing for domain invariance , arxiv_paper_21011
1804.04448v2 , Tzeng_2017_CVPR , Adversarial discriminative domain adaptation , arxiv_paper_21013
1811.07268v1 , mildenhall2018burst , Burst denoising with kernel prediction networks , arxiv_paper_21025
1811.07268v1 , guo2018toward , Toward convolutional blind denoising of real photographs , arxiv_paper_21026
1710.05092v1 , Vidal:book , Generalized Principal Component Analysis , arxiv_paper_21035
1710.05092v1 , Wager:NIPS13 , Dropout training as adaptive regularization , arxiv_paper_21036
1710.05092v1 , JMLR:v16:helmbold15a , On the inductive bias of dropout , arxiv_paper_21037
1909.02563v1 , deepxplore , Deepxplore: Automated whitebox testing of deep learning systems , arxiv_paper_21042
1909.02563v1 , guo2018dlfuzz , Dlfuzz: differential fuzzing testing of deep learning systems , arxiv_paper_21043
1804.00722v2 , bendale2015towards , Towards open set deep networks , arxiv_paper_21047
1804.00722v2 , zhao2017open , Open vocabulary scene parsing , arxiv_paper_21055
1812.01659v2 , hanocka2018mesh_cnn , MeshCNN: A Network with an Edge , arxiv_paper_21059
1912.02613v3 , sonderby2015convolutional , Convolutional lstm networks for subcellular localization of proteins , arxiv_paper_21064
1908.05814v1 , kamgar , Safe convex learning under uncertain constraints , arxiv_paper_21084
1712.03474v1 , garrido2014automatic , Automatic face reenactment , arxiv_paper_21087
1712.03474v1 , cheung2014discovering , Discovering hidden factors of variation in deep networks , arxiv_paper_21095
1712.03474v1 , NeuralFace2017 , Neural face editing with intrinsic image disentangling , arxiv_paper_21097
1904.03454v1 , Chen2018corr_dkg , Keyphrase generation with correlation constraints , arxiv_paper_21101
1601.00901v1 , wolfe2015interactive , Interactive knowledge base population , arxiv_paper_21104
1702.08727v2 , graves2014neural , Neural turing machines , arxiv_paper_21109
1702.08727v2 , Kaiser2015NeuralGL , Neural gpus learn algorithms , arxiv_paper_21112
1702.08727v2 , price2016extensions , Extensions and limitations of the neural gpu , arxiv_paper_21113
1506.02753v4 , Zeiler_ECCV2014 , Visualizing and understanding convolutional networks , arxiv_paper_21114
1506.02753v4 , Springenberg_ICLR2015 , Striving for simplicity: The all convolutional net , arxiv_paper_21115
1506.02753v4 , Mahendran_CVPR2015 , Understanding deep image representations by inverting them , arxiv_paper_21116
1705.10915v1 , Villegas17 , Decomposing motion and content for natural video sequence prediction , arxiv_paper_21122
1705.10915v1 , kulkarni2015deep , Deep convolutional inverse graphics network , arxiv_paper_21125
1705.10915v1 , whitney2016understanding , Understanding visual concepts with continuation learning , arxiv_paper_21126
1705.10915v1 , Srivastava15 , Unsupervised learning of video representations using LSTMs , arxiv_paper_21128
1705.10915v1 , Kalchbrenner16 , Video pixel networks , arxiv_paper_21129
1705.10915v1 , cricri2016video , Video ladder networks , arxiv_paper_21130
1705.10915v1 , Chiappa17 , Recurrent environment simulators , arxiv_paper_21131
1705.10915v1 , Vondrick16 , Generating videos with scene dynamics , arxiv_paper_21132
2001.01026v1 , balakrishnan2019visual , Visual deprojection: Probabilistic recovery of collapsed dimensions , arxiv_paper_21133
1802.07459v2 , fan2017matchzoo , Matchzoo: A toolkit for deep text matching , arxiv_paper_21138
1611.00142v2 , liu2015deep , Deep learning face attributes in the wild , arxiv_paper_21145
1912.13421v2 , BLT19 , Benign overfitting in linear regression , arxiv_paper_21146
1905.10826v2 , zhang2016understanding , Understanding deep learning requires rethinking generalization , arxiv_paper_21154
1905.10826v2 , du2018gradientlee , Gradient descent finds global minima of deep neural networks , arxiv_paper_21157
1909.07817v1 , ribeiro2018reweighted , Reweighted autoencoded variational bayes for enhanced sampling (rave) , arxiv_paper_21169
1805.10817v2 , Pezzotti:2015:AtSNE , Approximated and user steerable tsne for progressive visual analytics , arxiv_paper_21186
1706.09887v1 , WangOtto , Face search at scale: 80 million gallery , arxiv_paper_21195
1611.02401v7 , iclr2017recursive , Making neural programming architectures generalize via recursion , arxiv_paper_21201
1611.02401v7 , andrychowicz2016learning , Learning efficient algorithms with hierarchical attentive memory , arxiv_paper_21202
1902.06285v1 , noroozi2017representation , Representation learning by learning to count , arxiv_paper_21205
1902.06285v1 , bianco2016use , On the use of deep learning for blind image quality assessment , arxiv_paper_21216
1902.06285v1 , gao2015learning , Learning to rank for blind image quality assessment , arxiv_paper_21217
1902.06285v1 , Sam_2017_CVPR , Switching convolutional neural network for crowd counting , arxiv_paper_21225
1902.06285v1 , laradji2018blobs , Where are the blobs: Counting by localization with point supervision , arxiv_paper_21234
1905.06784v1 , khoreva_CVPR17 , Simple does it: Weakly supervised instance and semantic segmentation , arxiv_paper_21238
1905.06784v1 , CAM , Learning deep features for discriminative localization , arxiv_paper_21243
1805.07036v1 , Fischer15 , FlowNet: Learning optical flow with convolutional networks , arxiv_paper_21267
1805.07036v1 , Jaderberg15 , Spatial transformer networks , arxiv_paper_21268
1910.11670v1 , agrawal2016poking , Learning to Poke by Poking: Experiential Learning of Intuitive Physics , arxiv_paper_21276
1903.10145v3 , bowman2015generating , Generating sentences from a continuous space , arxiv_paper_21277
1903.10145v3 , dieng2018avoiding , Avoiding latent variable collapse with generative skip models , arxiv_paper_21279
1806.08804v4 , Gil+2017 , Neural message passing for quantum chemistry , arxiv_paper_21284
1806.08804v4 , niepert2016learning , Learning convolutional neural networks for graphs , arxiv_paper_21286
1806.08804v4 , Duv+2015 , Convolutional networks on graphs for learning molecular fingerprints , arxiv_paper_21290
1806.08804v4 , Li+2016 , Gated graph sequence neural networks , arxiv_paper_21291
1806.08804v4 , Lei+2017 , Deriving neural architectures from sequence and graph kernels , arxiv_paper_21292
1806.08804v4 , Ham+2017a , Representation learning on graphs: Methods and applications , arxiv_paper_21296
1805.10047v1 , luong-EtAl:2015:ACL-IJCNLP , Addressing the rare word problem in neural machine translation , arxiv_paper_21298
1805.10047v1 , sennrich-haddow-birch:2016:P16-12 , Neural machine translation of rare words with subword units , arxiv_paper_21299
1805.10047v1 , sennrich-haddow:2016:WMT , Linguistic input features improve neural machine translation , arxiv_paper_21300
1809.02031v1 , zhang2018composable , Composable planning with attributes , arxiv_paper_21301
1906.00852v1 , romero2014fitnets , Fitnets: Hints for thin deep nets , arxiv_paper_21303
1805.01328v1 , Chang2017:M , Matterport3d: Learning from rgb-d data in indoor environments , arxiv_paper_21317
1804.10070v2 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_21330
1804.10070v2 , zeiler2012differentiable , Differentiable pooling for hierarchical feature learning , arxiv_paper_21333
1510.05879v1 , sung2012unstructured , Unstructured human activity detection from rgbd images , arxiv_paper_21347
1711.08591v1 , rippel2015spectral , Spectral representations for convolutional neural networks , arxiv_paper_21357
1907.07167v2 , AdilKPS19 , Iterative refinement for $\ell_p$-norm regression , arxiv_paper_21373
1907.07167v2 , Bullins18 , Fast minimization of structured convex quartics , arxiv_paper_21374
1907.07167v2 , Maddison18 , Hamiltonian descent methods , arxiv_paper_21375
1810.08476v1 , lin2014microsoft , Microsoft coco: Common objects in context , arxiv_paper_21383
1911.00673v2 , Yu2019Fingerprints , Attributing fake images to GANs: Learning and analyzing GAN fingerprints , arxiv_paper_21401
1908.01022v2 , duan2016benchmarking , Benchmarking deep reinforcement learning for continuous control , arxiv_paper_21403
1711.10402v2 , shu2017neural , Neural face editing with intrinsic image disentangling , arxiv_paper_21412
1609.03140v2 , chen15cvpr , Webly supervised learning of convolutional networks , arxiv_paper_21413
1609.03140v2 , novotny16eccvworkshop , Learning the semantic structure of objects from web supervision , arxiv_paper_21416
1910.13724v2 , pons2019training , Training neural audio classifiers with few data , arxiv_paper_21423
1910.13724v2 , vinyals2016matching , Matching networks for one shot learning , arxiv_paper_21425
1910.02228v1 , Lowell2018PracticalOT , Practical obstacles to deploying active learning , arxiv_paper_21435
1904.02347v3 , wu&al18 , Fonduer: Knowledge base construction from richly formatted data , arxiv_paper_21443
1904.02347v3 , chung&al17 , Hierarchical multiscale recurrent neural networks , arxiv_paper_21446
1907.01750v4 , capsulenet , Dynamic routing between capsules , arxiv_paper_21450
1907.01750v4 , SegCaps , Capsules for object segmentation , arxiv_paper_21451
1509.06458v1 , Doyle1984 , Random Walks and Electric Networks , arxiv_paper_21469
1611.06638v1 , sarfraz2015deep , Deep perceptual mapping for thermal to visible face recognition , arxiv_paper_21478
1707.07273v1 , Turney/Pantel:10 , From Frequency to Meaning: Vector Space Models of Semantics , arxiv_paper_21516
1907.10815v1 , Lombardi_SIGGRAPH2018 , Deep appearance models for face rendering , arxiv_paper_21524
1907.10815v1 , richardson20163d , 3D face reconstruction by learning from synthetic data , arxiv_paper_21531
1907.10815v1 , richardson2017learning , Learning detailed face reconstruction from a single image , arxiv_paper_21532
1907.10815v1 , zhu2017face , Face alignment in full pose range: A 3D total solution , arxiv_paper_21536
1703.09507v3 , schroff2015facenet , Facenet: A unified embedding for face recognition and clustering , arxiv_paper_21543
